s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7
 3.3698561E+000, 7.0870396E+001,-1.0138927E+001, 1.1540943E-001,-6.0197959E-001,-5.9172623E-003, 2.3424011E+001, 0.0000000E+000, 7.8558034E+001, 8.3662992E+001, 3.4148290E+001, 1.8667512E-003, 0.0000000E+000, 3.4786261E+001,-2.9501055E+000,-3.0020421E+000,-2.9840365E+000,-3.0144301E+000,-2.9878837E+000,-3.0044072E+000
 3.6105602E+000, 7.3098039E+001,-9.9269486E+000, 1.2024593E-001,-6.0754222E-001,-6.3636409E-003, 2.4558214E+001, 0.0000000E+000, 8.2759237E+001, 8.7235644E+001, 3.4198286E+001, 2.0065080E-003, 0.0000000E+000, 3.9431462E+001,-2.9906685E+000,-3.0059404E+000,-2.9932049E+000,-3.0241105E+000,-3.0034129E+000,-3.0262832E+000
 3.8512642E+000, 7.7602863E+001,-9.4952592E+000, 1.2421425E-001,-6.2731688E-001,-6.7755660E-003, 2.6074827E+001, 0.0000000E+000, 8.6173733E+001, 9.3672552E+001, 3.4229215E+001, 2.1362822E-003, 0.0000000E+000, 4.4270596E+001,-3.0272772E+000,-3.0051904E+000,-2.9976073E+000,-3.0240372E+000,-3.0125774E+000,-3.0375262E+000
 4.0919681E+000, 8.4016342E+001,-9.9862676E+000, 1.2787902E-001,-6.6865780E-001,-7.1837720E-003, 2.8278469E+001, 0.0000000E+000, 9.3052831E+001, 1.0176058E+002, 3.4248341E+001, 2.2660563E-003, 0.0000000E+000, 4.9494076E+001,-3.0561871E+000,-3.0011659E+000,-2.9975818E+000,-3.0164265E+000,-3.0158118E+000,-3.0387406E+000
 4.3326721E+000, 9.2722508E+001,-1.0215872E+001, 1.3198157E-001,-7.2946841E-001,-7.6191616E-003, 3.1178232E+001, 0.0000000E+000, 1.0128722E+002, 1.1307976E+002, 3.4260165E+001, 2.4058131E-003, 0.0000000E+000, 5.5176528E+001,-3.0747495E+000,-2.9954260E+000,-2.9939672E+000,-3.0040121E+000,-3.0141403E+000,-3.0315213E+000
 4.5733762E+000, 1.0309595E+002,-1.1775539E+001, 1.3713874E-001,-8.0564416E-001,-8.0191096E-003, 3.4635854E+001, 0.0000000E+000, 1.1307368E+002, 1.2527974E+002, 3.4267472E+001, 2.5355872E-003, 0.0000000E+000, 6.1511989E+001,-3.0816934E+000,-2.9894196E+000,-2.9878719E+000,-2.9895413E+000,-3.0089011E+000,-3.0180912E+000
 4.8140802E+000, 1.1429684E+002,-1.4121423E+001, 1.4366209E-001,-9.0056084E-001,-8.4155222E-003, 3.8150427E+001, 0.0000000E+000, 1.2531048E+002, 1.3756053E+002, 3.4271989E+001, 2.6653614E-003, 0.0000000E+000, 6.8523751E+001,-3.0771950E+000,-2.9842373E+000,-2.9804650E+000,-2.9753511E+000,-3.0015096E+000,-3.0009477E+000
 5.0547843E+000, 1.2567024E+002,-1.9129470E+001, 1.5162854E-001,-1.0108270E+000,-8.8400556E-003, 4.1163937E+001, 0.0000000E+000, 1.3758259E+002, 1.4683667E+002, 3.4274780E+001, 2.8051182E-003, 0.0000000E+000, 7.6212398E+001,-3.0627224E+000,-2.9805366E+000,-2.9728044E+000,-2.9631279E+000,-2.9932477E+000,-2.9825289E+000
 5.2484055E+000, 1.4072715E+002,-3.7468281E+001, 1.6026468E-001,-1.1127244E+000,-9.1734537E-003, 4.1759401E+001, 0.0000000E+000, 1.4635736E+002, 1.4405664E+002, 3.4276505E+001, 2.9149271E-003, 0.0000000E+000, 8.2786508E+001,-3.0450239E+000,-2.9789199E+000,-2.9671176E+000,-2.9556414E+000,-2.9867226E+000,-2.9683944E+000
 5.4420271E+000, 1.4287297E+002,-3.6653251E+001, 1.6991631E-001,-1.2293561E+000,-9.4757049E-003, 4.1658369E+001, 0.0000000E+000, 1.4167016E+002, 1.4680917E+002, 3.4277400E+001, 3.0147533E-003, 0.0000000E+000, 8.9156297E+001,-3.0254605E+000,-2.9780779E+000,-2.9624934E+000,-2.9505018E+000,-2.9810620E+000,-2.9566118E+000
