s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7
 4.3326721E+000, 5.5476792E+001,-1.1918629E+000, 1.3706415E-001,-5.1269504E-001,-4.5720375E-003, 2.1195993E+001, 0.0000000E+000, 7.1027490E+001, 7.5100719E+001, 3.4260165E+001, 1.4374983E-003, 0.0000000E+000, 3.6729733E+001,-3.0763291E+000,-2.9906203E+000,-2.9942498E+000,-3.0045142E+000,-3.0143213E+000,-3.0316833E+000
 4.5733762E+000, 6.0464101E+001,-8.2168088E+000, 1.4274342E-001,-5.4297880E-001,-4.8245374E-003, 2.1230777E+001, 0.0000000E+000, 7.3849925E+001, 7.3073009E+001, 3.4267472E+001, 1.5173593E-003, 0.0000000E+000, 4.0894860E+001,-3.0833634E+000,-2.9840999E+000,-2.9881464E+000,-2.9902343E+000,-3.0090361E+000,-3.0182008E+000
 4.8140802E+000, 6.6021963E+001,-9.4081243E+000, 1.5005337E-001,-5.7006049E-001,-5.0756223E-003, 2.1720683E+001, 0.0000000E+000, 7.0998692E+001, 7.7909439E+001, 3.4271989E+001, 1.5972203E-003, 0.0000000E+000, 4.4908728E+001,-3.0788483E+000,-2.9786828E+000,-2.9807252E+000,-2.9763376E+000,-3.0015138E+000,-3.0009849E+000
 5.2954884E+000, 7.3650187E+001,-1.0216225E+001, 1.6328236E-001,-6.3470624E-001,-5.4646152E-003, 2.4389732E+001, 0.0000000E+000, 8.0201170E+001, 8.7346805E+001, 3.4275642E+001, 1.7220032E-003, 0.0000000E+000, 5.3952943E+001,-3.0420483E+000,-2.9728257E+000,-2.9659922E+000,-2.9553279E+000,-2.9847337E+000,-2.9648782E+000
 5.5361924E+000, 8.2045620E+001,-1.2160153E+001, 1.7898561E-001,-7.2294692E-001,-5.8504181E-003, 2.7012978E+001, 0.0000000E+000, 8.9767869E+001, 9.6348633E+001, 3.4277570E+001, 1.8467860E-003, 0.0000000E+000, 5.9000251E+001,-3.0153015E+000,-2.9721948E+000,-2.9601365E+000,-2.9492241E+000,-2.9773095E+000,-2.9498002E+000
 5.7768965E+000, 8.7261156E+001,-1.3340671E+001, 1.9075691E-001,-7.9873263E-001,-6.0953561E-003, 2.8598159E+001, 0.0000000E+000, 9.5454693E+001, 1.0190457E+002, 3.4278229E+001, 1.9266470E-003, 0.0000000E+000, 6.4358501E+001,-2.9871731E+000,-2.9726698E+000,-2.9558098E+000,-2.9458494E+000,-2.9711878E+000,-2.9383326E+000
 6.0176001E+000, 9.1671124E+001,-1.4642916E+001, 2.0306624E-001,-8.8643326E-001,-6.3397359E-003, 2.9970978E+001, 0.0000000E+000, 1.0099370E+002, 1.0630948E+002, 3.4278636E+001, 2.0065080E-003, 0.0000000E+000, 7.0018830E+001,-2.9605367E+000,-2.9737807E+000,-2.9530983E+000,-2.9446191E+000,-2.9664922E+000,-2.9309708E+000
 6.4465022E+000, 9.6915785E+001,-1.6082846E+001, 2.1967260E-001,-1.0201988E+000,-6.6625304E-003, 3.1665571E+001, 0.0000000E+000, 1.0790230E+002, 1.1169132E+002, 3.4278958E+001, 2.1113256E-003, 0.0000000E+000, 8.0775625E+001,-2.9247314E+000,-2.9756089E+000,-2.9519084E+000,-2.9453154E+000,-2.9612882E+000,-2.9279013E+000
 6.6609530E+000, 9.8816268E+001,-1.6951290E+001, 2.3574520E-001,-1.1603323E+000,-6.9875306E-003, 3.2152649E+001, 0.0000000E+000, 1.1015148E+002, 1.1308605E+002, 3.4279122E+001, 2.2161432E-003, 0.0000000E+000, 8.6262514E+001,-2.9145555E+000,-2.9759549E+000,-2.9525066E+000,-2.9458877E+000,-2.9596661E+000,-2.9299976E+000
 7.0898547E+000, 1.0052620E+002,-1.6843248E+001, 2.5060550E-001,-1.3208142E+000,-7.3143029E-003, 3.2748505E+001, 0.0000000E+000, 1.1201958E+002, 1.1535393E+002, 3.4279201E+001, 2.3209608E-003, 0.0000000E+000, 9.7419158E+001,-2.9088815E+000,-2.9757235E+000,-2.9548012E+000,-2.9463888E+000,-2.9571773E+000,-2.9381438E+000
