s,C,m,m
Time,"DOOR_TEMP","DOOR_VIS","LAYER_HEIGHT_DOOR"
 2.3511812E+001, 2.0797078E+001, 3.0000000E+001, 3.5000000E+000
 2.3781059E+001, 2.0817972E+001, 3.0000000E+001, 3.5000000E+000
 2.4050305E+001, 2.0835438E+001, 3.0000000E+001, 3.5000000E+000
 2.4361910E+001, 2.0853751E+001, 3.0000000E+001, 3.5000000E+000
 2.4640842E+001, 2.0873653E+001, 3.0000000E+001, 3.5000000E+000
 2.4919775E+001, 2.0892745E+001, 3.0000000E+001, 3.5000000E+000
 2.5208005E+001, 2.0912399E+001, 3.0000000E+001, 3.5000000E+000
 2.5514831E+001, 2.0933052E+001, 3.0000000E+001, 3.5000000E+000
 2.5842112E+001, 2.0955251E+001, 3.0000000E+001, 3.5000000E+000
 2.6179620E+001, 2.0978376E+001, 3.0000000E+001, 3.5000000E+000
 2.6404626E+001, 2.0998129E+001, 3.0000000E+001, 3.5000000E+000
 2.6742134E+001, 2.1018027E+001, 3.0000000E+001, 3.5000000E+000
 2.7079643E+001, 2.1041921E+001, 3.0000000E+001, 3.5000000E+000
 2.7304648E+001, 2.1061653E+001, 3.0000000E+001, 3.5000000E+000
 2.7664657E+001, 2.1082532E+001, 3.0000000E+001, 3.5000000E+000
 2.7912163E+001, 2.1104239E+001, 3.0000000E+001, 3.5000000E+000
 2.8244319E+001, 2.1125391E+001, 3.0000000E+001, 3.5000000E+000
 2.8576474E+001, 2.1152829E+001, 3.0000000E+001, 3.5000000E+000
 2.8908630E+001, 2.1192139E+001, 3.0000000E+001, 3.5000000E+000
 2.9130067E+001, 2.1245061E+001, 3.0000000E+001, 3.5000000E+000
 2.9462222E+001, 2.1320281E+001, 3.0000000E+001, 3.5000000E+000
 2.9794378E+001, 2.1433319E+001, 3.0000000E+001, 3.1189673E+000
 3.0015815E+001, 2.1543526E+001, 3.0000000E+001, 2.3307146E+000
 3.0347970E+001, 2.1671247E+001, 3.0000000E+001, 2.2785405E+000
 3.0680126E+001, 2.1846099E+001, 3.0000000E+001, 2.2098911E+000
 3.0901563E+001, 2.2000681E+001, 3.0000000E+001, 2.1565036E+000
 3.1233718E+001, 2.2155489E+001, 3.0000000E+001, 2.1008537E+000
 3.1565874E+001, 2.2319507E+001, 3.0000000E+001, 2.0162278E+000
 3.1898029E+001, 2.2448490E+001, 3.0000000E+001, 1.9114839E+000
 3.2101926E+001, 2.2525721E+001, 3.0000000E+001, 1.8286913E+000
 3.2474639E+001, 2.2584244E+001, 3.0000000E+001, 1.7470401E+000
 3.2754174E+001, 2.2628285E+001, 3.0000000E+001, 1.6535640E+000
 3.3061662E+001, 2.2648602E+001, 3.0000000E+001, 1.5687379E+000
 3.3369150E+001, 2.2656659E+001, 3.0000000E+001, 1.4927958E+000
 3.3664561E+001, 2.2648786E+001, 3.0000000E+001, 1.4339983E+000
 3.3935815E+001, 2.2632009E+001, 3.0000000E+001, 1.3881077E+000
 3.4207070E+001, 2.2611311E+001, 3.0000000E+001, 1.3480462E+000
 3.4586826E+001, 2.2600375E+001, 3.0000000E+001, 1.3017553E+000
 3.4805638E+001, 2.2612556E+001, 3.0000000E+001, 1.2547708E+000
 3.5133856E+001, 2.2627263E+001, 3.0000000E+001, 1.2085270E+000
 3.5462073E+001, 2.2645532E+001, 3.0000000E+001, 1.1529945E+000
 3.5790291E+001, 2.2666878E+001, 3.0000000E+001, 1.0992478E+000
 3.6009103E+001, 2.2684168E+001, 3.0000000E+001, 1.0516072E+000
 3.6321055E+001, 2.2697140E+001, 3.0000000E+001, 9.9898331E-001
 3.6600473E+001, 2.2706583E+001, 3.0000000E+001, 9.3634598E-001
 3.6973030E+001, 2.2709240E+001, 3.0000000E+001, 8.6757201E-001
 3.7252448E+001, 2.2708722E+001, 3.0000000E+001, 8.0420088E-001
 3.7550494E+001, 2.2711928E+001, 3.0000000E+001, 7.6155780E-001
 3.7857854E+001, 2.2720278E+001, 3.0000000E+001, 7.8712876E-001
 3.8165214E+001, 2.2735384E+001, 3.0000000E+001, 1.7671382E+000
 3.8472574E+001, 2.2775663E+001, 3.0000000E+001, 3.5000000E+000
 3.8779934E+001, 2.2844928E+001, 3.0000000E+001, 3.5000000E+000
 3.9087294E+001, 2.2943409E+001, 3.0000000E+001, 3.5000000E+000
 3.9394653E+001, 2.3078793E+001, 3.0000000E+001, 3.5000000E+000
 3.9702013E+001, 2.3259823E+001, 3.0000000E+001, 3.5000000E+000
 3.9906920E+001, 2.3418570E+001, 3.0000000E+001, 3.5000000E+000
 4.0214280E+001, 2.3562148E+001, 3.0000000E+001, 3.5000000E+000
 4.0521640E+001, 2.3707997E+001, 3.0000000E+001, 3.5000000E+000
 4.0829000E+001, 2.3826612E+001, 3.0000000E+001, 3.5000000E+000
 4.1156850E+001, 2.3936214E+001, 3.0000000E+001, 3.0597507E+000
 4.1494946E+001, 2.4039197E+001, 3.0000000E+001, 1.8546086E+000
 4.1720343E+001, 2.4122674E+001, 3.0000000E+001, 1.5685589E+000
 4.2058439E+001, 2.4216421E+001, 3.0000000E+001, 1.4056578E+000
 4.2352856E+001, 2.4334920E+001, 3.0000000E+001, 1.2727912E+000
 4.2647272E+001, 2.4464631E+001, 3.0000000E+001, 1.1646876E+000
 4.2941689E+001, 2.4608277E+001, 3.0000000E+001, 1.0746623E+000
 4.3236105E+001, 2.4766132E+001, 3.0000000E+001, 1.0022727E+000
 4.3530522E+001, 2.4933000E+001, 3.0000000E+001, 9.3507740E-001
 4.3824939E+001, 2.5097823E+001, 3.0000000E+001, 8.7490191E-001
 4.4119355E+001, 2.5250393E+001, 3.0000000E+001, 8.2037452E-001
 4.4413772E+001, 2.5379021E+001, 3.0000000E+001, 7.7488659E-001
